op;max_error;core_type;hash;size;flops;mean;dev;sum;sum2;n
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;9.029979e+03;3.613286e+01;9.029979e+04;8.154183e+08;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.926008e+04;3.059664e+01;1.926008e+05;3.709518e+09;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.947588e+04;2.930890e+02;1.947588e+05;3.793958e+09;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.935660e+04;8.230522e+01;1.935660e+05;3.746846e+09;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.924122e+04;8.430484e+00;1.924122e+05;3.702245e+09;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.936632e+04;1.411755e+02;1.936632e+05;3.750744e+09;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.925002e+04;3.593288e+00;1.925002e+05;3.705632e+09;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.933204e+04;4.911777e+01;1.933204e+05;3.737304e+09;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.924363e+04;4.019058e+00;7.697452e+04;1.481269e+09;4
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;4.788084e+03;4.759266e+02;4.117752e+05;1.991094e+09;86
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;4.788084e+03;4.759266e+02;4.117752e+05;1.991094e+09;86
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;4.798488e+03;4.766839e+02;4.126700e+05;1.999734e+09;86
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;4.800258e+03;4.785365e+02;4.080219e+05;1.978075e+09;85
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;4.823861e+03;5.192062e+02;4.100282e+05;2.000833e+09;85
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;4.808588e+03;4.775588e+02;4.135386e+05;2.008150e+09;86
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;4.822373e+03;5.004851e+02;4.099017e+05;1.997991e+09;85
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;4.919772e+03;6.075873e+02;4.034213e+05;2.015012e+09;82
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.537494e+03;6.352750e+00;7.752492e+04;4.292944e+08;14
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.535043e+03;1.042088e+01;8.302564e+04;4.595521e+08;15
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.552240e+03;6.381854e+01;8.328360e+04;4.624716e+08;15
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.598379e+03;1.123841e+02;7.277893e+04;4.076082e+08;13
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.550097e+03;6.479706e+01;9.435164e+04;5.237321e+08;17
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.555098e+03;6.099222e+01;8.888157e+04;4.938053e+08;16
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.537345e+03;9.243264e+00;8.306017e+04;4.599341e+08;15
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.552891e+03;6.383593e+01;9.439915e+04;5.242575e+08;17
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.552882e+03;6.422510e+01;8.884611e+04;4.934180e+08;16
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.550900e+03;4.289943e+01;9.436530e+04;5.238436e+08;17
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.536226e+03;1.105238e+01;8.304340e+04;4.597489e+08;15
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.541536e+03;7.261379e+00;9.420612e+04;5.220475e+08;17
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.716601e+03;8.250387e+01;3.178430e+06;1.817360e+10;556
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.538116e+03;7.695283e+00;7.199551e+04;3.987203e+08;13
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.536784e+03;9.501356e+00;7.751498e+04;4.291850e+08;14
splgsy;40;0;aa6d4ef7;4194304;0.000000e+00;5.555968e+03;6.340261e+01;8.889548e+04;4.939647e+08;16
strsm;40;0;9a2d19a7;8388608;0.000000e+00;1.180153e+04;3.334592e+02;1.546000e+06;1.825973e+10;131
strsm;40;0;9a2d19a7;8388608;0.000000e+00;1.180153e+04;3.334592e+02;1.546000e+06;1.825973e+10;131
strsm;40;0;9a2d19a7;8388608;0.000000e+00;1.179842e+04;3.221032e+02;1.639981e+06;1.936361e+10;139
strsm;40;0;9a2d19a7;8388608;0.000000e+00;1.179311e+04;2.644318e+02;2.205311e+06;2.602054e+10;187
strsm;40;0;9a2d19a7;8388608;0.000000e+00;1.179255e+04;2.998735e+02;1.733506e+06;2.045568e+10;147
